Map; Models; Solved; Average Actions; SD(Actions); Average Runtime; SD(Runtime); Average Efficiency; SD(Efficiency)
onionsalad; mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; bd, bd;  1.00;  41.20;  4.12;  1959.397;  370.603;  0.0216;  0.0037
onionsalad; agm-6, agm-6;  1.00;  37.60;  3.20;  99.651;  90.899;  1.2838;  1.2710
onionsalad; mac, mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; agm-6, agm-6, agm-6;  1.00;  35.60;  6.68;  1529.873;  617.351;  0.0276;  0.0125
onionsalad; agm-1, agm-1, agm-1;  1.00;  33.00;  3.85;  932.501;  808.206;  0.0626;  0.0412
onionsalad; agm-1, agm-1;  1.00;  45.40;  15.32;  290.766;  102.971;  0.2384;  0.2489
salad; mac, mac;  1.00;  24.80;  0.40;  0.527;  0.034;  47.3101;  3.4018
salad; bd, bd;  1.00;  32.80;  4.45;  763.165;  232.298;  0.0461;  0.0113
salad; agm-6, agm-6;  1.00;  23.00;  1.67;  1.010;  0.101;  22.8724;  1.4285
salad; mac, mac, mac;  0.20;  29.00;  0.00;  144.340;  0.000;  0.2009;  0.0000
salad; bd, bd, bd;  0.20;  26.00;  0.00;  10416.160;  0.000;  0.0025;  0.0000
salad; agm-6, agm-6, agm-6;  1.00;  22.00;  2.00;  96.925;  44.295;  0.2606;  0.0748
salad; agm-1, agm-1, agm-1;  1.00;  27.00;  1.55;  72.568;  16.341;  0.3969;  0.1164
salad; agm-1, agm-1;  1.00;  28.00;  1.26;  1.339;  0.152;  21.1994;  2.6736
tl; mac, mac;  0.80;  45.50;  11.84;  0.985;  0.276;  47.1502;  6.9038
tl; bd, bd;  1.00;  41.40;  2.42;  888.214;  243.550;  0.0493;  0.0110
tl; agm-6, agm-6;  1.00;  38.80;  2.40;  1.573;  0.094;  24.6748;  0.6598
tl; mac, mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
tl; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
tl; agm-6, agm-6, agm-6;  1.00;  37.80;  2.48;  207.970;  111.290;  0.2357;  0.1115
tl; agm-1, agm-1, agm-1;  1.00;  37.40;  4.22;  231.795;  210.376;  0.2794;  0.1482
tl; agm-1, agm-1;  1.00;  39.40;  1.02;  1.805;  0.036;  21.8329;  0.6773
tomato; mac, mac;  1.00;  23.00;  0.00;  0.291;  0.005;  79.0714;  1.2986
tomato; bd, bd;  1.00;  20.80;  1.17;  145.195;  104.762;  0.1966;  0.0804
tomato; agm-6, agm-6;  1.00;  22.00;  2.28;  0.682;  0.047;  32.5545;  5.3343
tomato; mac, mac, mac;  1.00;  18.00;  0.00;  1.615;  0.154;  11.2662;  1.2445
tomato; bd, bd, bd;  1.00;  19.00;  1.90;  3261.245;  482.683;  0.0059;  0.0007
tomato; agm-6, agm-6, agm-6;  1.00;  18.40;  1.36;  23.343;  5.000;  0.8216;  0.1643
tomato; agm-1, agm-1, agm-1;  1.00;  18.60;  1.02;  23.863;  3.762;  0.7918;  0.0787
tomato; agm-1, agm-1;  1.00;  20.80;  1.17;  0.745;  0.119;  28.8635;  6.1653
